Rxn name	Formula	Gene-reaction association	LB	UB	Objective
C22STDSx	ergtrol_c + h_c + nadh_c + o2_c  -> ergtetrol_c + 2 h2o_c + nad_c 	( YIL043C and YNL111C and YMR015C ) or ( YNL111C and YMR015C and YKL150W )	  0.00	999999.00	  0.00
C24STRer	ergtetrol_r + h_r + nadph_r  -> ergst_r + nadp_r 	YGL012W	  0.00	999999.00	  0.00
C3STDH1	4mzym_int1_c + nad_c  -> 4mzym_int2_c + co2_c + h_c + nadh_c 	YGL001C	  0.00	999999.00	  0.00
ARGSL	argsuc_c  <=> arg__L_c + fum_c 	YHR018C	-999999.00	999999.00	  0.00
ARGSS	asp__L_c + citr__L_c + atp_c  <=> amp_c + argsuc_c + h_c + ppi_c 	YOL058W	-999999.00	999999.00	  0.00
ARGTRS	arg__L_c + atp_c + trnaarg_c  -> amp_c + argtrna_c + ppi_c 	YDR341C	  0.00	999999.00	  0.00
ARGTRSm	arg__L_m + atp_m + trnaarg_m  -> amp_m + argtrna_m + ppi_m 	YHR091C	  0.00	999999.00	  0.00
ARGt2m	arg__L_c + h_c  <=> arg__L_m + h_m 		-999999.00	999999.00	  0.00
ARGt2r	arg__L_e + h_e  <=> arg__L_c + h_c 	YKR039W or YEL063C or YNL270C	-999999.00	999999.00	  0.00
ARGt6	arg__L_c + h_v  -> arg__L_v + h_c 	YBR293W	  0.00	999999.00	  0.00
ARMT	amet_c + his__L_c  -> NPmehis_c + ahcys_c + h_c 	YBR034C	  0.00	999999.00	  0.00
ASAD	aspsa_c + nadp_c + pi_c  <=> 4pasp_c + h_c + nadph_c 	YDR158W	-999999.00	  0.00	  0.00
C3STDH2	nad_c + zym_int1_c  -> co2_c + h_c + nadh_c + zym_int2_c 	YGL001C	  0.00	999999.00	  0.00
C3STKR1	4mzym_int2_c + h_c + nadph_c  -> 4mzym_c + nadp_c 	YLR100W	  0.00	999999.00	  0.00
C3STKR2	h_c + nadph_c + zym_int2_c  -> nadp_c + zymst_c 	YLR100W	  0.00	999999.00	  0.00
ASNN	asn__L_c + h2o_c  -> asp__L_c + nh4_c 	YDR321W	  0.00	999999.00	  0.00
C4STMO1	44mzym_c + 3 h_c + 3 nadph_c + 3 o2_c  -> 4mzym_int1_c + 4 h2o_c + 3 nadp_c 	YGR060W	  0.00	999999.00	  0.00
ASNNe	asn__L_e + h2o_e  -> asp__L_e + nh4_e 	YLR160C or YLR158C or YLR157C or YLR155C	  0.00	999999.00	  0.00
C4STMO2	4mzym_c + 3 h_c + 3 nadph_c + 3 o2_c  -> 4 h2o_c + 3 nadp_c + zym_int1_c 	YGR060W	  0.00	999999.00	  0.00
ASNS1	asp__L_c + atp_c + gln__L_c + h2o_c  -> amp_c + asn__L_c + glu__L_c + h_c + ppi_c 	YML096W or YGR124W or YPR145W	  0.00	999999.00	  0.00
3MBALDt	3mbald_c  <=> 3mbald_e 		-999999.00	999999.00	  0.00
ASNTRS	asn__L_c + atp_c + trnaasn_c  -> amp_c + asntrna_c + ppi_c 	YHR019C	  0.00	999999.00	  0.00
ASNTRSm	asn__L_m + atp_m + trnaasn_m  -> amp_m + asntrna_m + ppi_m 	YCR024C	  0.00	999999.00	  0.00
C5STDS	epist_c + h_c + nadph_c + o2_c  -> ergtrol_c + 2 h2o_c + nadp_c 	YLR056W	  0.00	999999.00	  0.00
C8STI	fecost_c  -> epist_c 	YMR202W	  0.00	999999.00	  0.00
ASNt2m	asn__L_c + h_c  <=> asn__L_m + h_m 		-999999.00	999999.00	  0.00
ASNt2r	asn__L_e + h_e  <=> asn__L_c + h_c 	YKR039W or YCL025C or YDR508C or YPL265W	-999999.00	999999.00	  0.00
3MBALDtm	3mbald_c  <=> 3mbald_m 		-999999.00	999999.00	  0.00
ASNt6	asn__L_c + h_v  -> asn__L_v + h_c 	YJR001W	  0.00	999999.00	  0.00
ASNt7	asn__L_v + h_v  -> asn__L_c + h_c 	YKL146W or YNL101W	  0.00	999999.00	  0.00
CAT	2 h2o2_c  -> 2 h2o_c + o2_c 	YGR088W	  0.00	999999.00	  0.00
CATp	2 h2o2_x  -> 2 h2o_x + o2_x 	YDR256C	  0.00	999999.00	  0.00
